id,name,ranking,team_id
0,Empty
1,Alex Ovechkin,1,29
2,Sidney Crosby,2,23
3,Steven Stamkos,3,26
4,Tyler Seguin,4,10
5,John Tavares,5,19
6,Jamie Benn,6,10
7,Carey Price,7,16
8,Claude Giroux,8,22
9,Evgeni Malkin,9,23
10,Phil Kessel,10,23
11,Corey Perry,11,1
12,Henrik Lundqvist,12,20
13,Erik Karlsson,13,21
14,Vladimir Tarasenko,14,25
15,Jonathan Toews,15,7
16,P.K. Subban,16,16
17,Rick Nash,17,20
18,Jakub Voracek,18,22
19,Joe Pavelski,19,24
20,Patrick Kane,20,7
21,Ryan Getzlaf,21,1
22,Jonathan Quick,22,14
23,Pekka Rinne,23,18
24,Logan Couture,24,24
25,Braden Holtby,25,29
26,Zach Parise,26,15
27,Anze Kopitar,27,14
28,Ben Bishop,28,26
29,Devan Dubnyk,29,15
30,Ryan Johansen,30,8
31,Marc-Andre Fleury,31,23
32,Nathan MacKinnon,32,9
33,Tuukka Rask,33,3
34,Henrik Zetterberg,34,11
35,Mark Giordano,35,6
36,Dustin Byfuglien,36,30
37,Tyler Johnson,37,26
38,Kevin Shattenkirk,38,25
39,Max Pacioretty,39,16
40,Nick Foligno,40,8
41,Jordan Eberle,41,12
42,Taylor Hall,42,12
43,Corey Crawford,43,7
44,James van Riemsdyk,44,27
45,Brent Burns,45,24
46,Connor McDavid,46,12
47,Gabriel Landeskog,47,9
48,David Backes,48,25
49,Duncan Keith,49,7
50,Shea Weber,50,18
51,Drew Doughty,51,14
52,Cory Schneider,52,17
53,Victor Hedman,53,26
54,Keith Yandle,54,20
55,Alex Pietrangelo,55,25
56,Kris Letang,56,23
57,Roman Josi,57,18
58,Nikita Kucherov,58,26
59,Sergei Bobrovsky,59,8
60,Roberto Luongo,60,13
61,Nicklas Backstrom,61,29
62,Blake Wheeler,62,30
63,Filip Forsberg,63,18
64,Alexander Steen,64,25
65,Daniel Sedin,65,28
66,Andrew Ladd,66,30
67,John Carlson,67,29
68,Patrice Bergeron,68,3
69,Kyle Turris,69,21
70,James Neal,70,18
71,Johnny Gaudreau,71,6
72,Tomas Tatar,72,11
73,Semyon Varlamov,73,9
74,Matt Duchene,74,9
75,Jaroslav Halak,75,19
76,Ryan Miller,76,28
77,Oliver Ekman-Larsson,77,2
78,Pavel Datsyuk,78,11
79,Ryan Nugent-Hopkins,79,12
80,Patrick Marleau,80,24
81,Steve Mason,81,22
82,Henrik Sedin,82,28
83,T.J. Oshie,83,29
84,Tyson Barrie,84,9
85,Patrick Sharp,85,10
86,Chris Kreider,86,20
87,Sean Monahan,87,6
88,Jonas Hiller,88,6
89,Aaron Ekblad,89,13
90,Bryan Little,90,30
91,Ryan McDonagh,91,20
92,Jiri Hudler,92,6
93,Eric Staal,93,5
94,Evander Kane,94,4
95,Wayne Simmonds,95,22
96,Kyle Okposo,96,19
97,Brandon Saad,97,8
98,Jason Spezza,98,10
99,Brian Elliott,99,25
100,Marian Hossa,100,7
101,Jake Allen,101,25
102,Mike Green,102,11
103,Jack Eichel,103,4
104,Justin Faulk,104,5
105,Jaden Schwartz,105,25
106,Ondrej Palat,106,26
107,Ondrej Pavelec,107,30
108,Jarome Iginla,108,9
109,Sami Vatanen,109,1
110,Gustav Nyquist,110,11
111,Dougie Hamilton,111,6
112,Jeff Carter,112,14
113,Ryan Kesler,113,1
114,Frederik Andersen,114,1
115,Chris Kunitz,115,23
116,Craig Anderson,116,21
117,Brad Marchand,117,3
118,Dennis Wideman,118,6
119,Patric Hornqvist,119,23
120,Tyler Toffoli,120,14
121,Radim Vrbata,121,28
122,Joe Thornton,122,24
123,Jeff Skinner,123,5
124,Jimmy Howard,124,11
125,Derek Stepan,125,20
126,Bobby Ryan,126,21
127,Torey Krug,127,3
128,Mark Scheifele,128,30
129,Andrei Markov,129,16
130,Jonathan Huberdeau,130,13
131,Mark Stone,131,21
132,Mark Streit,132,22
133,Martin Jones,133,24
134,T.J. Brodie,134,6
135,Craig Smith,135,18
136,Milan Lucic,136,14
137,Scott Hartnell,137,8
138,Derick Brassard,138,20
139,Marian Gaborik,139,14
140,Thomas Vanek,140,15
141,Niklas Kronwall,141,11
142,Alex Galchenyuk,142,16
143,Nick Bjugstad,143,13
144,Tyler Ennis,144,4
145,Kari Lehtonen,145,10
146,Anders Lee,146,19
147,Brendan Gallagher,147,16
148,Mike Smith,148,2
149,Nick Leddy,149,19
150,Nail Yakupov,150,12
151,Brent Seabrook,151,7
152,Brayden Schenn,152,22
153,Kevin Hayes,153,20
154,Cam Atkinson,154,8
155,Olli Maatta,155,23
156,Ryan Strome,156,19
157,Mikko Koivu,157,15
158,Troy Brouwer,158,25
159,Jonathan Bernier,159,27
160,Ryan O'Reilly,160,4
161,Max Domi,161,2
162,Ryan Callahan,162,26
163,Cam Talbot,163,12
164,Andrew Hammond,164,21
165,Evgeny Kuznetsov,165,29
166,Drew Stafford,166,30
167,Antti Niemi,167,10
168,John Klingberg,168,10
169,Jaromir Jagr,169,13
170,Mike Hoffman,170,21
171,David Pastrnak,171,3
172,Tomas Plekanec,172,16
173,Mats Zuccarello,173,20
174,Matt Niskanen,174,29
175,Johnny Boychuk,175,19
176,Jake Muzzin,176,14
177,Ryan Suter,177,15
178,David Perron,178,23
179,Valtteri Filppula,179,26
180,Justin Williams,180,29
181,Jonathan Drouin,181,26
182,Tomas Hertl,182,24
183,Jason Pominville,183,15
184,Brandon Dubinsky,184,8
185,Carl Soderberg,185,9
186,Paul Stastny,186,25
187,Petr Mrazek,187,11
188,Marek Zidlicky,188,19
189,Andrej Sekera,189,12
190,David Krejci,190,3
191,Jacob Trouba,191,30
192,Brandon Pirri,192,13
193,Mike Cammalleri,193,17
194,Carl Hagelin,194,1
195,Colin Wilson,195,18
196,Dan Boyle,196,20
197,Hampus Lindholm,197,1
